City,State,Annual % Average Possible Sunshine,# of Data Years,Latitude,Longitude
Yuma,Arizona,90.0,42,32.6926512,-114.6276916
Redding,California,88.0,10,40.5865396,-122.3916754
Las Vegas,Nevada,85.0,47,36.1699412,-115.1398296
Phoenix,Arizona,85.0,101,33.4483771,-112.0740373
Tucson,Arizona,85.0,53,32.2226066,-110.9747108
El Paso,Texas,84.0,54,31.7618778,-106.4850217
Fresno,California,79.0,46,36.7377981,-119.7871247
Reno,Nevada,79.0,45,39.5296329,-119.8138027
Flagstaff,Arizona,78.0,15,35.1982836,-111.651302
Sacramento,California,78.0,46,38.5815719,-121.4943996
Albuquerque,New Mexico,76.0,63,35.0843859,-106.650422
Key West,Florida,76.0,38,24.5550593,-81.7799871
Pueblo,Colorado,76.0,61,38.2544472,-104.6091409
Midland-Odessa,Texas,74.0,22,31.8456816,-102.3676431
Roswell,New Mexico,74.0,7,33.3942655,-104.5230242
Amarillo,Texas,73.0,61,35.2219971,-101.8312969
Ely,Nevada,73.0,56,39.2533328,-114.874248
Los Angeles,California,73.0,32,34.0522342,-118.2436849
Lake Charles,Louisiana,72.0,19,30.2265949,-93.2173758
Lubbock,Texas,72.0,25,33.5778631,-101.8551665
North Little Rock,Arkansas,72.0,24,34.769536,-92.2670941
Grand Junction,Colorado,71.0,56,39.0638705,-108.5506486
Honolulu,Hawaii,71.0,46,21.3069444,-157.8583333
Johnston Island,PC,71.0,22,16.7295035,-169.5336477
Abilene,Texas,70.0,49,32.4487364,-99.73314390000002
Dodge City,Kansas,70.0,59,37.7527982,-100.0170787
Miami,Florida,70.0,20,25.7616798,-80.1917902
Milford,Utah,70.0,16,38.3969108,-113.0107892
Wake Island,PC,70.0,28,19.279619,166.6499348
Denver,Colorado,69.0,46,39.7392358,-104.990251
Lander,Wyoming,68.0,50,42.833014,-108.7306725
Oklahoma City,Oklahoma,68.0,42,35.4675602,-97.5164276
San Diego,California,68.0,56,32.715738,-117.1610838
Winnemucca,Nevada,68.0,42,40.9729584,-117.7356849
Concordia,Kansas,67.0,34,39.5708354,-97.6625396
Kahului,Hawaii,67.0,37,20.8893351,-156.4729469
North Platte,Nebraska,67.0,50,41.1402759,-100.7601454
San Juan,Puerto Rico,67.0,47,18.4655394,-66.1057355
Apalachicola,Florida,66.0,57,29.7257675,-84.9832435
Cheyenne,Wyoming,66.0,63,41.1399814,-104.8202462
Macon,Georgia,66.0,48,32.8406946,-83.6324022
Salt Lake City,Utah,66.0,64,40.7607793,-111.8910474
San Francisco,California,66.0,38,37.7749295,-122.4194155
Tampa,Florida,66.0,50,27.950575,-82.4571776
Valentine,Nebraska,65.0,29,42.87278329999999,-100.5509669
Wichita,Kansas,65.0,49,37.68717609999999,-97.33005299999999
Boise,Idaho,64.0,60,43.6150186,-116.2023137
Columbia,South Carolina,64.0,46,34.0007104,-81.0348144
Memphis,Tennessee,64.0,35,35.1495343,-90.0489801
Pocatello,Idaho,64.0,53,42.8621042,-112.4506191
Shreveport,Louisiana,64.0,50,32.5251516,-93.7501789
Tupelo,Mississippi,64.0,13,34.2576066,-88.7033859
Charleston Ap,South Carolina,63.0,39,32.7764749,-79.93105120000001
Huron,South Dakota,63.0,55,44.3633173,-98.21425719999999
Jacksonville,Florida,63.0,50,30.3321838,-81.65565099999999
Rapid City,South Dakota,63.0,55,44.0805434,-103.2310149
Richmond,Virginia,63.0,46,37.5407246,-77.4360481
Sheridan,Wyoming,63.0,55,44.7971939,-106.9561791
Wilmington,North Carolina,63.0,51,34.2103894,-77.8868117
Charlotte,North Carolina,62.0,48,35.2270869,-80.8431267
Galveston,Texas,62.0,103,29.3013479,-94.7976958
Little Rock,Arkansas,62.0,32,34.7464809,-92.28959479999999
Savannah,Georgia,62.0,46,32.0808989,-81.091203
Tulsa,Oklahoma,62.0,55,36.1539816,-95.99277500000001
Cairo,Illinois,61.0,45,37.0053293,-89.1764608
Dallas-Fort Worth,Texas,61.0,17,32.7078751,-96.9209135
Fort Smith,Arkansas,61.0,51,35.3859242,-94.39854749999999
Great Falls,Montana,61.0,46,47.5052849,-111.3007715
Jackson,Mississippi,61.0,33,32.2987573,-90.1848103
Lincoln,Nebraska,61.0,40,40.813616,-96.7025955
Sioux City,Iowa,61.0,55,42.4963416,-96.40494079999999
Topeka,Kansas,61.0,53,39.0473451,-95.67515759999999
Atlanta,Georgia,60.0,65,33.7489954,-84.3879824
Austin/Bergstrom,Texas,60.0,60,30.19747109999999,-97.66635289999999
Austin/City,Texas,60.0,58,30.267153,-97.7430608
Billings,Montana,60.0,57,45.7832856,-108.5006904
Brownsville,Texas,60.0,59,25.9017472,-97.4974838
Cape Hatteras,North Carolina,60.0,33,35.24804,-75.5393155
Corpus Christi,Texas,60.0,60,27.8005828,-97.39638099999999
Greensboro-Wnstn-Salm,North Carolina,60.0,68,36.1039642,-80.254435
Greenville-Spartanburg Ap,South Carolina,60.0,39,34.849863,-82.389512
Kansas City,Missouri,60.0,23,39.0997265,-94.5785667
Norfolk,Virginia,60.0,32,36.8507689,-76.28587259999999
Omaha,Nebraska,60.0,57,41.2565369,-95.9345034
Pensacola,Florida,60.0,5,30.42130899999999,-87.2169149
San Antonio,Texas,60.0,53,29.4241219,-98.49362819999999
Springfield,Missouri,60.0,57,37.2089572,-93.29229889999999
Williston,North Dakota,60.0,39,48.1469683,-103.6179745
Asheville,North Carolina,59.0,32,35.5950581,-82.5514869
Bismarck,North Dakota,59.0,63,46.8083268,-100.7837392
Des Moines,Iowa,59.0,50,41.5868353,-93.6249593
Evansville,Indiana,59.0,56,37.9715592,-87.5710898
Fort Wayne,Indiana,59.0,52,41.079273,-85.1393513
Helena,Montana,59.0,55,46.5891452,-112.0391057
Houston,Texas,59.0,27,29.7604267,-95.3698028
Lynchburg,Virginia,59.0,52,37.4137536,-79.14224639999999
