State,State Abbreviation,Latitude,Longitude,Annual % Average Possible Sunshine
Alabama,AL,32.3182314,-86.902298,57.666666666666664
Alaska,AK,64.2008413,-149.4936733,37.666666666666664
Arizona,AZ,34.0489281,-111.0937311,84.5
Arkansas,AR,35.20105,-91.8318334,65.0
California,CA,36.778261,-119.4179324,71.85714285714286
Colorado,CO,39.5500507,-105.7820674,72.0
Connecticut,CT,41.6032207,-73.087749,56.0
Florida,FL,27.6648274,-81.5157535,66.83333333333333
Georgia,GA,32.1656221,-82.9000751,62.666666666666664
Hawaii,HI,19.8967662,-155.5827818,59.25
Idaho,ID,44.0682019,-114.7420408,64.0
Illinois,IL,40.6331249,-89.3985283,56.8
Indiana,IN,40.2671941,-86.1349019,57.666666666666664
Iowa,IA,41.8780025,-93.097702,60.0
Kansas,KS,39.011902,-98.4842465,65.75
Kentucky,KY,37.8393332,-84.2700179,54.666666666666664
Louisiana,LA,30.9842977,-91.96233269999999,64.33333333333333
Maine,ME,45.253783,-69.4454689,57.0
Maryland,MD,39.0457549,-76.64127119999999,57.0
Massachusetts,MA,42.4072107,-71.3824374,55.0
Michigan,MI,44.3148443,-85.60236429999999,49.166666666666664
Minnesota,MN,46.729553,-94.6858998,55.0
Mississippi,MS,32.3546679,-89.3985283,62.5
Missouri,MO,37.9642529,-91.8318334,58.25
Montana,MT,46.8796822,-110.3625658,58.75
Nebraska,NE,41.4925374,-99.9018131,63.25
Nevada,NV,38.8026097,-116.419389,76.25
New Hampshire,NH,43.1938516,-71.5723953,43.5
New Jersey,NJ,40.0583238,-74.4056612,56.0
New Mexico,NM,34.5199402,-105.8700901,75.0
New York,NY,40.7127753,-74.0059728,50.833333333333336
North Carolina,NC,35.7595731,-79.01929969999999,60.333333333333336
North Dakota,ND,47.5514926,-101.0020119,58.666666666666664
Ohio,OH,40.4172871,-82.90712300000001,51.0
Oklahoma,OK,35.4675602,-97.5164276,65.0
Oregon,OR,43.8041334,-120.5542012,48.0
Pennsylvania,PA,41.2033216,-77.1945247,53.333333333333336
Rhode Island,RI,41.5800945,-71.4774291,58.0
South Carolina,SC,33.836081,-81.1637245,62.333333333333336
South Dakota,SD,43.9695148,-99.9018131,63.0
Tennessee,TN,35.5174913,-86.5804473,58.25
Texas,TX,31.9685988,-99.9018131,65.21428571428571
Utah,UT,39.3209801,-111.0937311,68.0
Vermont,VT,44.5588028,-72.57784149999999,49.0
Virginia,VA,37.4315734,-78.6568942,60.666666666666664
Washington,WA,47.7510741,-120.7401385,44.25
West Virginia,WV,38.5976262,-80.4549026,40.0
Wisconsin,WI,43.7844397,-88.7878678,54.0
Wyoming,WY,43.0759678,-107.2902839,65.66666666666667
