City,State,Annual % Average Possible Sunshine,# of Data Years,Latitude,Longitude
Yuma,Arizona,90.0,42,32.6926512,-114.6276916
Redding,California,88.0,10,40.5865396,-122.3916754
Las Vegas,Nevada,85.0,47,36.1699412,-115.1398296
Phoenix,Arizona,85.0,101,33.4483771,-112.0740373
Tucson,Arizona,85.0,53,32.2226066,-110.9747108
El Paso,Texas,84.0,54,31.7618778,-106.4850217
Fresno,California,79.0,46,36.7377981,-119.7871247
Reno,Nevada,79.0,45,39.5296329,-119.8138027
Flagstaff,Arizona,78.0,15,35.1982836,-111.651302
Sacramento,California,78.0,46,38.5815719,-121.4943996
Albuquerque,New Mexico,76.0,63,35.0843859,-106.650422
Key West,Florida,76.0,38,24.5550593,-81.7799871
Pueblo,Colorado,76.0,61,38.2544472,-104.6091409
Midland-Odessa,Texas,74.0,22,31.8456816,-102.3676431
Roswell,New Mexico,74.0,7,33.3942655,-104.5230242
Amarillo,Texas,73.0,61,35.2219971,-101.8312969
Ely,Nevada,73.0,56,39.2533328,-114.874248
Los Angeles,California,73.0,32,34.0522342,-118.2436849
Lake Charles,Louisiana,72.0,19,30.2265949,-93.2173758
Lubbock,Texas,72.0,25,33.5778631,-101.8551665
North Little Rock,Arkansas,72.0,24,34.769536,-92.2670941
Grand Junction,Colorado,71.0,56,39.0638705,-108.5506486
Honolulu,Hawaii,71.0,46,21.3069444,-157.8583333
Johnston Island,PC,71.0,22,16.7295035,-169.5336477
Abilene,Texas,70.0,49,32.4487364,-99.73314390000002
Dodge City,Kansas,70.0,59,37.7527982,-100.0170787
Miami,Florida,70.0,20,25.7616798,-80.1917902
Milford,Utah,70.0,16,38.3969108,-113.0107892
Wake Island,PC,70.0,28,19.279619,166.6499348
